family,pool,method,acc,esc0_pct,think_pct,flops_pct,latency_s,energy_j,guard,PMC,SLAKE,VQARAD,PathV,MMMU,MX-R,MX-U
qoq,ALL-6,Jitkrittum L2D (Diff-Prob),0.5095,0.0,0.0,8.9,0.124,19.0,0.0,0.5115,0.7212,0.7226,0.6403,0.5287,0.2062,0.2302
qoq,ALL-6,random,0.5095,0.0,0.0,8.9,0.123,18.6,0.05,0.5115,0.7212,0.7226,0.6403,0.5287,0.2061,0.2302
qoq,ALL-5,always-small-nt (cheap),0.605,0.0,0.0,9.1,0.121,17.6,0.0,0.5115,0.7212,0.7243,0.6404,0.5294,nan,nan
qoq,ALL-5,always-big-nt,0.6101,100.0,0.0,39.4,0.227,68.8,1.0,0.52,0.7236,0.7426,0.6383,0.6235,nan,nan
qoq,ALL-5,always-big-think [PARITY],0.5432,100.0,100.0,100.0,8.491,4692.0,4.0,0.4355,0.6587,0.6654,0.5756,0.6941,nan,nan
qoq,ALL-5,Ours (ACC-v2: agreement),0.6048,0.0,0.0,9.1,0.121,17.6,0.0,0.5115,0.7212,0.7226,0.6403,0.5287,nan,nan
qoq,ALL-5,CASP-Stability (trained),0.6049,0.0,0.0,9.2,0.126,20.3,0.0,0.5115,0.7212,0.7226,0.6403,0.5305,nan,nan
qoq,ALL-5,ACC-v1 (margin),0.6048,0.0,0.0,9.1,0.121,17.6,0.0,0.5115,0.7212,0.7226,0.6403,0.5287,nan,nan
qoq,ALL-5,MSP/Chow,0.6047,0.0,0.0,9.1,0.126,20.2,0.3,0.5112,0.7212,0.7226,0.6403,0.5287,nan,nan
qoq,ALL-5,entropy,0.6049,0.0,0.0,9.2,0.126,20.3,0.0,0.5119,0.7212,0.7226,0.6403,0.5287,nan,nan
qoq,ALL-5,Gini/DOCTOR,0.6047,0.0,0.0,9.1,0.125,19.9,0.35,0.5111,0.7212,0.7226,0.6403,0.5287,nan,nan
qoq,ALL-5,AutoMix (self-verify),0.6048,0.0,0.0,9.1,0.123,18.7,0.05,0.5114,0.7212,0.7226,0.6403,0.5287,nan,nan
qoq,ALL-5,FrugalGPT-style learned,0.6048,0.1,0.1,9.2,0.127,21.0,0.0,0.5115,0.7212,0.7226,0.6403,0.5293,nan,nan
qoq,ALL-5,Jitkrittum L2D (Diff-Prob),0.6047,0.0,0.0,9.1,0.125,19.9,0.35,0.5111,0.7212,0.7226,0.6403,0.5287,nan,nan
qoq,ALL-5,random,0.6048,0.0,0.0,9.1,0.123,18.8,0.15,0.5115,0.7212,0.7226,0.6402,0.5287,nan,nan
chiron,ALL-6,always-small-nt (cheap),0.6024,0.0,0.0,19.3,0.195,17.4,0.0,0.5395,0.8197,0.75,0.8379,0.4118,0.2042,0.2514
chiron,ALL-6,always-big-nt,0.5512,100.0,0.0,77.0,0.291,38.8,3.0,0.596,0.8101,0.7721,0.6645,0.5706,0.2202,0.2477
